Date,Symbols,Above_MA_30W,Symbols_MA_10W,Above_MA_10W,Pct_Above_MA_30W,Pct_Above_MA_10W,Benchmark_Close,Benchmark_Ticker
2025-11-17,1479,582,1500,508,39.350912778904664,33.86666666666667,23954.55078125,^CRSLDX
2025-11-18,1479,532,1500,467,35.97025016903313,31.133333333333336,23824.650390625,^CRSLDX
2025-11-19,1479,532,1500,458,35.97025016903313,30.533333333333335,23906.30078125,^CRSLDX
2025-11-20,1479,529,1500,455,35.76741041244084,30.333333333333336,23975.44921875,^CRSLDX
2025-11-21,1479,475,1500,389,32.11629479377958,25.933333333333337,23790.25,^CRSLDX
2025-11-24,1479,427,1500,336,28.87085868830291,22.400000000000002,23674.55078125,^CRSLDX
2025-11-25,1479,440,1500,343,29.749830966869506,22.866666666666667,23655.05078125,^CRSLDX
2025-11-26,1479,484,1500,413,32.72481406355646,27.53333333333333,23955.19921875,^CRSLDX
2025-11-27,1479,467,1500,409,31.575388776200136,27.266666666666666,23947.75,^CRSLDX
2025-11-28,1479,466,1500,414,31.507775524002707,27.6,23933.19921875,^CRSLDX
2025-12-01,1479,453,1500,412,30.628803245436103,27.46666666666667,23922.44921875,^CRSLDX
2025-12-02,1480,442,1500,384,29.864864864864867,25.6,23822.25,^CRSLDX
2025-12-03,1480,421,1500,354,28.445945945945944,23.599999999999998,23716.30078125,^CRSLDX
2025-12-04,1480,421,1500,354,28.445945945945944,23.599999999999998,23741.099609375,^CRSLDX
2025-12-05,1480,396,1500,348,26.756756756756754,23.200000000000003,23835.25,^CRSLDX
2025-12-08,1480,335,1500,242,22.635135135135133,16.133333333333333,23526.19921875,^CRSLDX
2025-12-09,1480,359,1500,289,24.256756756756754,19.26666666666667,23516.25,^CRSLDX
2025-12-10,1480,346,1500,265,23.37837837837838,17.666666666666668,23408.80078125,^CRSLDX
2025-12-11,1480,369,1500,314,24.93243243243243,20.933333333333334,23550.849609375,^CRSLDX
2025-12-12,1480,387,1500,348,26.14864864864865,23.200000000000003,23726.19921875,^CRSLDX
2025-12-15,1480,399,1500,358,26.959459459459463,23.866666666666667,23725.19921875,^CRSLDX
2025-12-16,1480,377,1500,338,25.472972972972975,22.53333333333333,23570.150390625,^CRSLDX
2025-12-17,1480,351,1500,307,23.716216216216214,20.466666666666665,23496.05078125,^CRSLDX
2025-12-18,1480,349,1500,283,23.58108108108108,18.866666666666667,23491.5,^CRSLDX
2025-12-19,1480,375,1500,341,25.33783783783784,22.733333333333334,23677.55078125,^CRSLDX
2025-12-22,1480,399,1500,409,26.959459459459463,27.266666666666666,23867.650390625,^CRSLDX
2025-12-23,1481,424,1501,443,28.62930452397029,29.513657561625585,23895.150390625,^CRSLDX
2025-12-24,1482,410,1501,427,27.66531713900135,28.447701532311793,23850.25,^CRSLDX
2025-12-26,1483,397,1502,427,26.77006068779501,28.428761651131822,23780.25,^CRSLDX
2025-12-29,1485,390,1502,393,26.262626262626267,26.165113182423433,23682.099609375,^CRSLDX
2025-12-30,1486,381,1502,384,25.639300134589504,25.5659121171771,23668.80078125,^CRSLDX
2025-12-31,1487,402,1502,443,27.034297242770677,29.494007989347537,23871.55078125,^CRSLDX
2026-01-01,1487,410,1502,460,27.57229320780094,30.62583222370173,,^CRSLDX
2026-01-02,1487,448,1502,544,30.12777404169469,36.21837549933422,24099.0,^CRSLDX
2026-01-05,1487,439,1502,538,29.52252858103564,35.81890812250333,24058.44921875,^CRSLDX
2026-01-06,1487,418,1502,500,28.110289172831205,33.288948069241016,24010.5,^CRSLDX
2026-01-07,1489,435,1502,527,29.21423774345198,35.086551264980024,24016.599609375,^CRSLDX
2026-01-08,1489,371,1502,407,24.91605104096709,27.097203728362185,23680.099609375,^CRSLDX
2026-01-09,1489,325,1502,310,21.82672934855608,20.63914780292943,23467.349609375,^CRSLDX
