Company Name,Industry,Symbol,Series
20 Microns Ltd,Mining & Mineral products,20MICRONS,EQ
360 ONE WAM Ltd,Stock/ Commodity Brokers,360ONE,EQ
3i Infotech Ltd,IT - Software,3IINFOLTD,EQ
3M India Ltd,Diversified,3MINDIA,EQ
63 Moons Technologies Ltd,IT - Software,63MOONS,EQ
A2Z Infra Engineering Ltd,Infrastructure Developers & Operators,A2ZINFRA,EQ
Aarey Drugs & Pharmaceuticals Ltd,Pharmaceuticals,AAREYDRUGS,EQ
Aaron Industries Ltd,Capital Goods-Non Electrical Equipment,AARON,EQ
Aartech Solonics Ltd,Capital Goods - Electrical Equipment,AARTECH,EQ
Aarti Drugs Ltd,Pharmaceuticals,AARTIDRUGS,EQ
Aarti Industries Ltd,Chemicals,AARTIIND,EQ
Aarti Pharmalabs Ltd,Pharmaceuticals,AARTIPHARM,EQ
Aarti Surfactants Ltd,Chemicals,AARTISURF,EQ
Aarvi Encon Ltd,Miscellaneous,AARVI,EQ
Aastha Spintex Ltd,Textiles,AASTHA,EQ
ABB India Ltd,Capital Goods - Electrical Equipment,ABB,EQ
Abbott India Ltd,Pharmaceuticals,ABBOTINDIA,EQ
AB Cotspin India Ltd,Textiles,ABCOTS,EQ
Aditya Birla Fashion & Retail Ltd,Retail,ABFRL,EQ
A B Infrabuild Ltd,Infrastructure Developers & Operators,ABINFRA,EQ
Aditya Birla Lifestyle Brands Ltd,Retail,ABLBL,EQ
Aditya Birla Real Estate Ltd,Realty,ABREL,EQ
ACC Ltd,Cement,ACC,EQ
Accelya Solutions India Ltd,IT - Software,ACCELYA,EQ
Action Construction Equipment Ltd,Capital Goods-Non Electrical Equipment,ACE,EQ
Archean Chemical Industries Ltd,Chemicals,ACI,EQ
Andhra Cements Ltd,Cement,ACL,EQ
ACME Solar Holdings Ltd,Infrastructure Developers & Operators,ACMESOLAR,EQ
Acutaas Chemicals Ltd,Pharmaceuticals,ACUTAAS,EQ
Adani Energy Solutions Ltd,Power Generation & Distribution,ADANIENSOL,EQ
Adani Enterprises Ltd,Trading,ADANIENT,EQ
Adani Green Energy Ltd,Power Generation & Distribution,ADANIGREEN,EQ
Adani Ports & Special Economic Zone Ltd,Marine Port & Services,ADANIPORTS,EQ
Adani Power Ltd,Power Generation & Distribution,ADANIPOWER,EQ
ADF Foods Ltd,FMCG,ADFFOODS,EQ
Ador Welding Ltd,Capital Goods-Non Electrical Equipment,ADOR,EQ
Allied Digital Services Ltd,IT - Software,ADSL,EQ
Advance Agrolife Ltd,Agro Chemicals,ADVANCE,EQ
Advani Hotels & Resorts (India) Ltd,Hotels & Restaurants,ADVANIHOTR,EQ
Advanced Enzyme Technologies Ltd,Pharmaceuticals,ADVENZYMES,EQ
Aegis Logistics Ltd,Trading,AEGISLOG,EQ
Aegis Vopak Terminals Ltd,Logistics,AEGISVOPAK,EQ
Aequs Ltd,Aerospace & Defence,AEQUS,EQ
Aeroflex Enterprises Ltd,Steel,AEROENTER,EQ
Aeroflex Industries Ltd,Steel,AEROFLEX,EQ
Amir Chand Jagdish Kumar (Exports) Ltd,FMCG,AEROPLANE,EQ
Aether Industries Ltd,Chemicals,AETHER,EQ
Afcons Infrastructure Ltd,Infrastructure Developers & Operators,AFCONS,EQ
Affle 3i Ltd,IT - Software,AFFLE,EQ
Affordable Robotic & Automation Ltd,Engineering,AFFORDABLE,EQ
Agarwal Industrial Corporation Ltd,Petrochemicals,AGARIND,EQ
Dr Agarwals Health Care Ltd,Healthcare,AGARWALEYE,EQ
AGI Greenpac Ltd,Packaging,AGI,EQ
AGI Infra Ltd,Realty,AGIIL,EQ
Allcargo Global Ltd,Logistics,AGL,EQ
Anlon Healthcare Ltd,Pharmaceuticals,AHCL,EQ
Ahluwalia Contracts (India) Ltd,Realty,AHLUCONT,EQ
Asian Hotels (West) Ltd,Hotels & Restaurants,AHLWEST,EQ
AIA Engineering Ltd,"Castings, Forgings & Fastners",AIAENG,EQ
Airan Ltd,IT - Software,AIRAN,EQ
Airo Lam Ltd,Plywood Boards/Laminates,AIROLAM,EQ
Ajanta Pharma Ltd,Pharmaceuticals,AJANTPHARM,EQ
Ajax Engineering Ltd,Capital Goods-Non Electrical Equipment,AJAXENGG,EQ
Ajmera Realty & Infra India Ltd,Realty,AJMERA,EQ
AksharChem (India) Ltd,Chemicals,AKSHARCHEM,EQ
Akums Drugs & Pharmaceuticals Ltd,Pharmaceuticals,AKUMS,EQ
Alankit Ltd,IT - Software,ALANKIT,EQ
Albert David Ltd,Pharmaceuticals,ALBERTDAVD,EQ
Alembic Ltd,Realty,ALEMBICLTD,EQ
Alicon Castalloy Ltd,"Castings, Forgings & Fastners",ALICON,EQ
Alivus Life Sciences Ltd,Pharmaceuticals,ALIVUS,EQ
Alkem Laboratories Ltd,Pharmaceuticals,ALKEM,EQ
Alkyl Amines Chemicals Ltd,Chemicals,ALKYLAMINE,EQ
Allcargo Logistics Ltd,Logistics,ALLCARGO,EQ
Alldigi Tech Ltd,IT - Software,ALLDIGI,EQ
All Time Plastics Ltd,Plastic products,ALLTIME,EQ
Alok Industries Ltd,Textiles,ALOKINDS,EQ
Alpa Laboratories Ltd,Pharmaceuticals,ALPA,EQ
Alpine Texworld Ltd,Textiles,ALPINETEX,EQ
Amagi Media Labs Ltd,IT - Software,AMAGI,EQ
Amanta Healthcare Ltd,Pharmaceuticals,AMANTA,EQ
Amber Enterprises India Ltd,Consumer Durables,AMBER,EQ
Ambika Cotton Mills Ltd,Textiles,AMBIKCO,EQ
Ambuja Cements Ltd,Cement,AMBUJACEM,EQ
AMJ Land Holdings Ltd,Realty,AMJLAND,EQ
Amines & Plasticizers Ltd,Chemicals,AMNPLST,EQ
Amrutanjan Health Care Ltd,Pharmaceuticals,AMRUTANJAN,EQ
Anant Raj Ltd,Realty,ANANTRAJ,EQ
Andhra Paper Ltd,Paper,ANDHRAPAP,EQ
Andhra Sugars Ltd,Chemicals,ANDHRSUGAR,EQ
Andrew Yule & Company Ltd,Diversified,ANDREWYU,EQ
Anik Industries Ltd,Trading,ANIKINDS,EQ
Annapurna Swadisht Ltd,FMCG,ANNAPURNA,EQ
Antelopus Selan Energy Ltd,Crude Oil & Natural Gas,ANTELOPUS,EQ
Anthem Biosciences Ltd,Pharmaceuticals,ANTHEM,EQ
Anuh Pharma Ltd,Pharmaceuticals,ANUHPHR,EQ
The Anup Engineering Ltd,Capital Goods-Non Electrical Equipment,ANUP,EQ
Anupam Rasayan India Ltd,Chemicals,ANURAS,EQ
Apar Industries Ltd,Capital Goods - Electrical Equipment,APARINDS,EQ
Anjani Portland Cement Ltd,Cement,APCL,EQ
Apcotex Industries Ltd,Chemicals,APCOTEXIND,EQ
Apex Frozen Foods Ltd,FMCG,APEX,EQ
APL Apollo Tubes Ltd,Capital Goods-Non Electrical Equipment,APLAPOLLO,EQ
Alembic Pharmaceuticals Ltd,Pharmaceuticals,APLLTD,EQ
Apollo Micro Systems Ltd,Aerospace & Defence,APOLLO,EQ
Apollo Hospitals Enterprise Ltd,Healthcare,APOLLOHOSP,EQ
Apollo Pipes Ltd,Plastic products,APOLLOPIPE,EQ
Apollo Tyres Ltd,Tyres,APOLLOTYRE,EQ
Apollo Sindoori Hotels Ltd,Hotels & Restaurants,APOLSINHOT,EQ
Aptech Ltd,Computer Education,APTECHT,EQ
Archidply Industries Ltd,Plywood Boards/Laminates,ARCHIDPLY,EQ
Ardee Industries Ltd,Non Ferrous Metals,ARDEE,EQ
Amara Raja Energy & Mobility Ltd,Auto Ancillaries,ARE&M,EQ
Aries Agro Ltd,Fertilizers,ARIES,EQ
Arihant Foundations & Housing Ltd,Realty,ARIHANT,EQ
Arihant Superstructures Ltd,Realty,ARIHANTSUP,EQ
Arisinfra Solutions Ltd,Trading,ARIS,EQ
Arkade Developers Ltd,Realty,ARKADE,EQ
Arrow Greentech Ltd,Plastic products,ARROWGREEN,EQ
Artemis Medicare Services Ltd,Healthcare,ARTEMISMED,EQ
Art Nirman Ltd,Realty,ARTNIRMAN,EQ
Arvee Laboratories (India) Ltd,Chemicals,ARVEE,EQ
Arvind Ltd,Textiles,ARVIND,EQ
Arvind Fashions Ltd,Trading,ARVINDFASN,EQ
Arvind SmartSpaces Ltd,Realty,ARVSMART,EQ
Asahi India Glass Ltd,Glass & Glass Products,ASAHIINDIA,EQ
Asahi Songwon Colors Ltd,Chemicals,ASAHISONG,EQ
Automotive Stampings & Assemblies Ltd,Auto Ancillaries,ASAL,EQ
Ashapura Minechem Ltd,Mining & Mineral products,ASHAPURMIN,EQ
Ashiana Housing Ltd,Realty,ASHIANA,EQ
Ashima Ltd,Diversified,ASHIMASYN,EQ
Ashoka Buildcon Ltd,Infrastructure Developers & Operators,ASHOKA,EQ
Ashok Leyland Ltd,Automobile,ASHOKLEY,EQ
Asian Energy Services Ltd,Crude Oil & Natural Gas,ASIANENE,EQ
Asian Hotels (North) Ltd,Hotels & Restaurants,ASIANHOTNR,EQ
Asian Paints Ltd,Paints/Varnish,ASIANPAINT,EQ
Asian Granito India Ltd,Ceramic Products,ASIANTILES,EQ
ASK Automotive Ltd,Auto Ancillaries,ASKAUTOLTD,EQ
Avio Smart Market Stack Ltd,IT - Software,ASMS,EQ
Aspinwall & Company Ltd,Diversified,ASPINWALL,EQ
Asian Star Company Ltd,"Diamond, Gems and Jewellery",ASTAR,EQ
Astec Lifesciences Ltd,Agro Chemicals,ASTEC,EQ
Aster DM Quality Care Ltd,Healthcare,ASTERDM,EQ
Astral Ltd,Plastic products,ASTRAL,EQ
Astra Microwave Products Ltd,Aerospace & Defence,ASTRAMICRO,EQ
Astrazeneca Pharma India Ltd,Pharmaceuticals,ASTRAZEN,EQ
Atam Valves Ltd,Capital Goods-Non Electrical Equipment,ATAM,EQ
Adani Total Gas Ltd,Gas Distribution,ATGL,EQ
Ather Energy Ltd,Automobile,ATHERENERG,EQ
Allcargo Terminals Ltd,Marine Port & Services,ATL,EQ
Atlantaa Ltd,Infrastructure Developers & Operators,ATLANTAA,EQ
Atlanta Electricals Ltd,Capital Goods - Electrical Equipment,ATLANTAELE,EQ
Atul Ltd,Chemicals,ATUL,EQ
Atul Auto Ltd,Automobile,ATULAUTO,EQ
Aurionpro Solutions Ltd,IT - Software,AURIONPRO,EQ
Aurobindo Pharma Ltd,Pharmaceuticals,AUROPHARMA,EQ
Aurum Proptech Ltd,IT - Software,AURUM,EQ
Ausom Enterprise Ltd,"Diamond, Gems and Jewellery",AUSOMENT,EQ
Automotive Axles Ltd,Auto Ancillaries,AUTOAXLES,EQ
Autoline Industries Ltd,Auto Ancillaries,AUTOIND,EQ
Avadh Sugar & Energy Ltd,Sugar,AVADHSUGAR,EQ
Avalon Technologies Ltd,Consumer Durables,AVALON,EQ
Avanti Feeds Ltd,FMCG,AVANTIFEED,EQ
AVG Logistics Ltd,Logistics,AVG,EQ
Avro India Ltd,Plastic products,AVROIND,EQ
AVT Natural Products Ltd,FMCG,AVTNPL,EQ
AWFIS Space Solutions Ltd,Co-Working,AWFIS,EQ
Antony Waste Handling Cell Ltd,Miscellaneous,AWHCL,EQ
AWL Agri Business Ltd,FMCG,AWL,EQ
AXISCADES Technologies Ltd,Aerospace & Defence,AXISCADES,EQ
Axita Cotton Ltd,Textiles,AXITA,EQ
AYM Syntex Ltd,Textiles,AYMSYNTEX,EQ
Azad Engineering Ltd,Aerospace & Defence,AZAD,EQ
Bafna Pharmaceuticals Ltd,Pharmaceuticals,BAFNAPH,EQ
Bajaj Auto Ltd,Automobile,BAJAJ-AUTO,EQ
Bajaj Consumer Care Ltd,FMCG,BAJAJCON,EQ
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ
Bajaj Finserv Ltd,Finance,BAJAJFINSV,EQ
Bajaj Healthcare Ltd,Pharmaceuticals,BAJAJHCARE,EQ
Bajaj Hindusthan Sugar Ltd,Sugar,BAJAJHIND,EQ
Bajaj Holdings & Investment Ltd,Finance,BAJAJHLDNG,EQ
Indef Manufacturing Ltd,Capital Goods-Non Electrical Equipment,BAJAJINDEF,EQ
Bajel Projects Ltd,Infrastructure Developers & Operators,BAJEL,EQ
Shree Tirupati Balajee Agro Trading Co Ltd,Packaging,BALAJEE,EQ
Balaji Amines Ltd,Chemicals,BALAMINES,EQ
Balaxi Pharmaceuticals Ltd,Pharmaceuticals,BALAXI,EQ
Balkrishna Industries Ltd,Tyres,BALKRISIND,EQ
Balmer Lawrie & Company Ltd,Diversified,BALMLAWRIE,EQ
Bal Pharma Ltd,Pharmaceuticals,BALPHARMA,EQ
Balrampur Chini Mills Ltd,Sugar,BALRAMCHIN,EQ
Balu Forge Industries Ltd,"Castings, Forgings & Fastners",BALUFORGE,EQ
Bannari Amman Sugars Ltd,Sugar,BANARISUG,EQ
Banco Products (India) Ltd,Auto Ancillaries,BANCOINDIA,EQ
Bansal Wire Industries Ltd,Steel,BANSALWIRE,EQ
Banswara Syntex Ltd,Textiles,BANSWRAS,EQ
BASF India Ltd,Chemicals,BASF,EQ
Bata India Ltd,Leather,BATAINDIA,EQ
Bayer CropScience Ltd,Agro Chemicals,BAYERCROP,EQ
Bharat Bijlee Ltd,Capital Goods - Electrical Equipment,BBL,EQ
Black Box Ltd,IT - Software,BBOX,EQ
The Bombay Burmah Trading Corporation Ltd,Auto Ancillaries,BBTC,EQ
B&B Triplewall Containers Ltd,Packaging,BBTCL,EQ
Brightcom Group Ltd,IT - Software,BCG,EQ
Brand Concepts Ltd,Retail,BCONCEPTS,EQ
Bharat Dynamics Ltd,Aerospace & Defence,BDL,EQ
Mrs Bectors Food Specialities Ltd,FMCG,BECTORFOOD,EQ
Bedmutha Industries Ltd,Non Ferrous Metals,BEDMUTHA,EQ
Bharat Electronics Ltd,Aerospace & Defence,BEL,EQ
Belrise Industries Ltd,Auto Ancillaries,BELRISE,EQ
BEML Ltd,Aerospace & Defence,BEML,EQ
Bengal & Assam Company Ltd,Finance,BENGALASM,EQ
Bhansali Engineering Polymers Ltd,Petrochemicals,BEPL,EQ
Berger Paints India Ltd,Paints/Varnish,BERGEPAINT,EQ
Best Agrolife Ltd,Agro Chemicals,BESTAGRO,EQ
Beta Drugs Ltd,Pharmaceuticals,BETA,EQ
BF Utilities Ltd,Power Generation & Distribution,BFUTILITIE,EQ
BGR Energy Systems Ltd,Infrastructure Developers & Operators,BGRENERGY,EQ
Bhagiradha Chemicals & Industries Ltd,Agro Chemicals,BHAGCHEM,EQ
Bhageria Industries Ltd,Chemicals,BHAGERIA,EQ
Bhagyanagar India Ltd,Power Generation & Distribution,BHAGYANGR,EQ
Bharat Coking Coal Ltd,Mining & Mineral products,BHARATCOAL,EQ
Bharat Forge Ltd,"Castings, Forgings & Fastners",BHARATFORG,EQ
Bharat Gears Ltd,Auto Ancillaries,BHARATGEAR,EQ
Bharat Rasayan Ltd,Agro Chemicals,BHARATRAS,EQ
Bharat Wire Ropes Ltd,Steel,BHARATWIRE,EQ
Bharti Airtel Ltd,Telecom-Service,BHARTIARTL,EQ
Bharti Hexacom Ltd,Telecom-Service,BHARTIHEXA,EQ
Bharat Heavy Electricals Ltd,Capital Goods - Electrical Equipment,BHEL,EQ
BIGBLOC Construction Ltd,Cement - Products,BIGBLOC,EQ
Bikaji Foods International Ltd,FMCG,BIKAJI,EQ
Bhartiya International Ltd,Leather,BIL,EQ
Biocon Ltd,Pharmaceuticals,BIOCON,EQ
Brookfield India Real Estate Trust,Real Estate Investment Trusts,BIRET,EQ
Birla Cable Ltd,Cables,BIRLACABLE,EQ
Birla Corporation Ltd,Cement,BIRLACORPN,EQ
BirlaNu Ltd,Cement - Products,BIRLANU,EQ
Blackbuck Ltd,Logistics,BLACKBUCK,EQ
BEML Land Assets Ltd,Construction,BLAL,EQ
Behari Lal Engineering Ltd,Steel,BLEL,EQ
Balmer Lawrie Investment Ltd,Finance,BLIL,EQ
Bliss GVS Pharma Ltd,Pharmaceuticals,BLISSGVS,EQ
BLKashyap & Sons Ltd,Construction,BLKASHYAP,EQ
BLS International Services Ltd,IT - Software,BLS,EQ
BLS E-Services Ltd,IT - Software,BLSE,EQ
Blue Dart Express Ltd,Logistics,BLUEDART,EQ
Blue Jet Healthcare Ltd,Pharmaceuticals,BLUEJET,EQ
Blue Star Ltd,Consumer Durables,BLUESTARCO,EQ
Bluestone Jewellery & Lifestyle Ltd,"Diamond, Gems and Jewellery",BLUESTONE,EQ
Bluspring Enterprises Ltd,Diversified,BLUSPRING,EQ
BMW Ventures Ltd,Trading,BMWVENTLTD,EQ
Bodal Chemicals Ltd,Chemicals,BODALCHEM,EQ
Bombay Dyeing & Manufacturing Company Ltd,Textiles,BOMDYEING,EQ
Borana Weaves Ltd,Textiles,BORANA,EQ
Borosil Ltd,Glass & Glass Products,BOROLTD,EQ
Borosil Renewables Ltd,Glass & Glass Products,BORORENEW,EQ
Borosil Scientific Ltd,Glass & Glass Products,BOROSCI,EQ
Bosch Home Comfort India Ltd,Consumer Durables,BOSCH-HCIL,EQ
Bosch Ltd,Auto Ancillaries,BOSCHLTD,EQ
Bharat Petroleum Corporation Ltd,Refineries,BPCL,EQ
BPL Ltd,Consumer Durables,BPL,EQ
Brigade Enterprises Ltd,Realty,BRIGADE,EQ
Brigade Hotel Ventures Ltd,Hotels & Restaurants,BRIGHOTEL,EQ
Britannia Industries Ltd,FMCG,BRITANNIA,EQ
Brooks Laboratories Ltd,Pharmaceuticals,BROOKS,EQ
BSE Ltd,Financial Services,BSE,EQ
Bombay Super Hybrid Seeds Ltd,FMCG,BSHSL,EQ
BSL Ltd,Textiles,BSL,EQ
Birlasoft Ltd,IT - Software,BSOFT,EQ
Shankara Buildpro Ltd,Trading,BUILDPRO,EQ
Butterfly Gandhimathi Appliances Ltd,Consumer Durables,BUTTERFLY,EQ
The Byke Hospitality Ltd,Hotels & Restaurants,BYKE,EQ
Camlin Fine Sciences Ltd,Chemicals,CAMLINFINE,EQ
Campus Activewear Ltd,Leather,CAMPUS,EQ
Computer Age Management Services Ltd,Financial Services,CAMS,EQ
Cantabil Retail India Ltd,Textiles,CANTABIL,EQ
Capacite Infraprojects Ltd,Infrastructure Developers & Operators,CAPACITE,EQ
Capillary Technologies India Ltd,IT - Software,CAPILLARY,EQ
Caplin Point Laboratories Ltd,Pharmaceuticals,CAPLIPOINT,EQ
Carborundum Universal Ltd,Capital Goods-Non Electrical Equipment,CARBORUNIV,EQ
CARE Ratings Ltd,Credit Rating Agencies,CARERATING,EQ
Carraro India Ltd,Auto Ancillaries,CARRARO,EQ
Cartrade Tech Ltd,Retail,CARTRADE,EQ
Carysil Ltd,Consumer Durables,CARYSIL,EQ
Castrol India Ltd,Chemicals,CASTROLIND,EQ
AvenuesAI Ltd,E-Commerce/App based Aggregator,CCAVENUE,EQ
Consolidated Construction Consortium Ltd,Construction,CCCL,EQ
CCL Products (India) Ltd,Plantation & Plantation Products,CCL,EQ
Central Depository Services (India) Ltd,Financial Services,CDSL,EQ
CEAT Ltd,Tyres,CEATLTD,EQ
Ceigall India Ltd,Infrastructure Developers & Operators,CEIGALL,EQ
Ceinsys Tech Ltd,IT - Software,CEINSYS,EQ
Cello World Ltd,Consumer Durables,CELLO,EQ
Cemindia Projects Ltd,Infrastructure Developers & Operators,CEMPRO,EQ
Century Enka Ltd,Textiles,CENTENKA,EQ
Centum Electronics Ltd,Aerospace & Defence,CENTUM,EQ
Century Plyboards (India) Ltd,Plywood Boards/Laminates,CENTURYPLY,EQ
Cera Sanitaryware Ltd,Ceramic Products,CERA,EQ
CESC Ltd,Power Generation & Distribution,CESC,EQ
Concord Enviro Systems Ltd,Capital Goods-Non Electrical Equipment,CEWATER,EQ
CG Power & Industrial Solutions Ltd,Capital Goods - Electrical Equipment,CGPOWER,EQ
Chalet Hotels Ltd,Hotels & Restaurants,CHALET,EQ
Chambal Fertilisers & Chemicals Ltd,Fertilizers,CHAMBLFERT,EQ
Chembond Material Technologies Ltd,Chemicals,CHEMBOND,EQ
Chembond Chemicals Ltd,Chemicals,CHEMBONDCH,EQ
Chemcon Speciality Chemicals Ltd,Chemicals,CHEMCON,EQ
Chemfab Alkalis Ltd,Chemicals,CHEMFAB,EQ
Chemplast Sanmar Ltd,Chemicals,CHEMPLASTS,EQ
Chennai Petroleum Corporation Ltd,Refineries,CHENNPETRO,EQ
Cheviot Company Ltd,Textiles,CHEVIOT,EQ
CIE Automotive India Ltd,"Castings, Forgings & Fastners",CIEINDIA,EQ
Cipla Ltd,Pharmaceuticals,CIPLA,EQ
Clean Science & Technology Ltd,Chemicals,CLEAN,EQ
Clean Max Enviro Energy Solutions Ltd,Power Generation & Distribution,CLEANMAX,EQ
CL Educate Ltd,Education,CLEDUCATE,EQ
Chamanlal Setia Exports Ltd,FMCG,CLSEL,EQ
Caliber Mining and Logistics Ltd,Mining & Mineral products,CMLL,EQ
Central Mine Planning & Design Institute Ltd,Miscellaneous,CMPDI,EQ
CMR Green Technologies Ltd,Miscellaneous,CMRGREEN,EQ
CMS Info Systems Ltd,Miscellaneous,CMSINFO,EQ
Creative Newtech Ltd,E-Commerce/App based Aggregator,CNL,EQ
Coal India Ltd,Mining & Mineral products,COALINDIA,EQ
Coastal Corporation Ltd,FMCG,COASTCORP,EQ
Cochin Shipyard Ltd,Aerospace & Defence,COCHINSHIP,EQ
Coffee Day Enterprises Ltd,Quick Service Restaurant,COFFEEDAY,EQ
Coforge Ltd,IT - Software,COFORGE,EQ
Cohance Lifesciences Ltd,Pharmaceuticals,COHANCE,EQ
Colgate-Palmolive (India) Ltd,FMCG,COLPAL,EQ
Commercial Syn Bags Ltd,Packaging,COMSYN,EQ
Container Corporation Of India Ltd,Logistics,CONCOR,EQ
Concord Biotech Ltd,Pharmaceuticals,CONCORDBIO,EQ
Confidence Petroleum India Ltd,Miscellaneous,CONFIPET,EQ
Control Print Ltd,IT - Hardware,CONTROLPR,EQ
Coral India Finance & Housing Ltd,Finance,CORALFINAC,EQ
