Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MaxDD_3M,MaxDD_6M,MaxDD_9M,MaxDD_12M,Up_Days_Pct_6M,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,Action,Action_Reason,Corporate_Action,Corporate_Action_Date,Corporate_Action_Kind
20MICRONS,2026-09-23,219.2100067138672,0.06852757350849292,0.5419098750771698,0.11015652227670181,-0.02512916601013182,0.1527984756721451,-0.1329386354573655,-0.1329386354573655,-0.39668295568835577,-0.41538594080718794,52.41935483870967,186.27594843045088,1.171725136359436,Stage 2 — Advancing,205.55387084960938,235.95250022354273,False,128.8197409252814,0.5033963960798113,2.5462306125573564,50208752.33007278,205.55387084960938,False,17.680252636433515,False,-7.095705065135405,True,True,True,True,False,False,False,False,185.91602630615233,186.71046295166016,True,4.304092212656005,1,1.6413314602842564,22.065687084594447,0.7285392488240493,False,233.52999877929688,0.009557839749876755,0.0097656816158299,False,6.532544877899404,65.0,True,True,5,True,False,True,True,True,True,True,False,6,False,False,,20 Microns Ltd,Mining & Mineral products,EQ,HOLD,Stage 2 + RS 65; trend/leadership is adequate without a stronger entry trigger.,False,,
360ONE,2026-09-23,1108.0,-0.007968505881922217,0.1309436464804321,-0.05692477049731337,0.09856803174502504,0.031329979192859875,-0.1358677887719525,-0.1358677887719525,-0.2256895226845339,-0.2256895226845339,47.58064516129033,1093.4282961563326,-0.29604447195010763,Stage 3 — Topping,1139.5280004882814,1229.0652744329707,False,900.8207868154223,3.7978476688779743,0.6281217979194188,982476661.753308,1139.5280004882814,True,1.3326620405645695,False,-9.850190787370849,True,False,True,False,True,False,False,False,1094.392002360026,1106.5795278930664,True,2.6160402971792,2,1.1735220494821554,15.19339644441898,0.842001689134475,False,1222.9000244140625,0.04831023273808201,0.051273315731198366,False,10.370038304518282,51.0,True,True,3,True,False,True,True,False,False,True,False,4,False,False,,360 ONE WAM Ltd,Stock/ Commodity Brokers,EQ,REDUCE,Stage 3 with RS 51; the guide requires REDUCE when RS is 50 or higher.,False,,
3IINFOLTD,2026-09-23,25.739999771118164,0.4801610508646794,0.9080800747103805,0.48528562518386975,0.1139544719973018,0.4935284547241822,-0.2105072241174003,-0.2105072241174003,-0.2660126761091981,-0.44951432372728106,54.83870967741935,18.786971824269898,3.8014401501621498,Stage 2 — Advancing,23.313200073242186,27.799999237060547,False,12.680000305175781,0.2062991006911496,2.171306718716924,6637175.671721744,23.313200073242186,False,37.00983858327831,True,-7.410070224736442,True,True,True,True,False,False,False,False,18.571999994913735,17.903800024986268,True,3.7712277885264176,2,0.8521352529901638,35.21582473688537,0.428914203901279,False,27.799999237060547,0.0011222972740260796,0.0011654839366416988,False,8.003105999456238,87.0,False,True,5,True,True,True,True,True,True,True,True,8,True,False,,3i Infotech Ltd,IT - Software,EQ,WAIT,"Stage 2 + RS 87; wait because price is more than 20% above the 30-week line (currently +37%) — the guide treats that as poor entry timing, not a failed trend.",False,,
3MINDIA,2026-09-23,34615.0,0.0446618203492517,0.1291416662212208,0.0030364654301817673,0.1770171223513033,0.07970377894024186,-0.12650352550808797,-0.12650352550808797,-0.2225322551145249,-0.2225322551145249,52.41935483870967,33036.29345015405,-0.6497490044875542,Stage 3 — Topping,34402.6215625,37487.09942436396,False,28319.862583025053,1.2093316214055574,2.0112638549013964,138414466.0,34402.6215625,False,4.778703616457269,False,-7.661567495129528,True,True,True,False,False,False,False,False,33174.73584635417,33508.70318359375,False,2.6392356740471716,1,2.305987030664778,15.549597855227882,1.4525633618849063,False,37300.0,1.5092587601342136,1.5957972004548862,False,7.756752852809479,57.0,True,True,4,True,False,False,True,True,False,True,False,4,False,False,,3M India Ltd,Diversified,EQ,REDUCE,Stage 3 with RS 57; the guide requires REDUCE when RS is 50 or higher.,False,,
63MOONS,2026-09-23,852.9500122070312,0.26142234111461504,0.7652881134722351,0.1292900609666665,-0.07660090397708152,0.26816439053821006,-0.19964572123230528,-0.19964572123230528,-0.37877286047970893,-0.4920343329977537,50.0,695.2003754091935,2.242653938566308,Stage 2 — Advancing,810.25001953125,955.732564747902,False,465.91898526941185,0.5577686523840872,1.451034158533397,438449935.2566986,810.25001953125,False,22.691247355122137,True,-10.754321484063079,True,True,True,True,False,False,False,False,692.2112654622396,695.4254782104492,True,5.917195482528019,2,1.1828549207478474,29.328255757114896,0.7118830668592186,False,955.732564747902,0.03718972346901766,0.03965609435387876,False,12.050243398779958,75.0,True,True,5,True,False,True,True,True,True,True,True,7,False,False,,63 Moons Technologies Ltd,IT - Software,EQ,HOLD,Stage 2 + RS 75; trend/leadership is adequate without a stronger entry trigger.,False,,
A2ZINFRA,2026-09-23,14.789999961853027,0.043018310546480976,-0.06805292574001853,-0.08364309038705708,-0.17833333545260954,-0.048798546097344644,-0.1799884571951028,-0.31085711887904577,-0.35885163412935317,-0.35885163412935317,41.12903225806452,15.3415492353305,0.08720852818655533,Stage 1 — Basing,15.009399948120118,19.389999389648438,False,12.0,0.4766474407897206,1.027231617485234,3298805.545700216,15.009399948120118,True,-3.595134135523248,False,-23.723566645655335,False,False,False,True,False,False,False,False,15.311866607666015,15.210249967575074,False,4.805369883731413,3,0.5627742601595197,33.14763515344327,0.4050389015321393,False,17.950000762939453,0.0006448631230625846,0.0008087270567855505,False,21.36579316590148,38.0,False,False,1,False,True,False,False,False,False,True,False,2,False,False,3.0,A2Z Infra Engineering Ltd,Infrastructure Developers & Operators,EQ,AVOID,Stage 1 + RS 38; weak RS in a basing stage is AVOID.,False,,
AAREYDRUGS,2026-09-23,102.62999725341797,0.128298134195314,0.6426056018780912,0.41989483932883287,0.3042317202854048,0.32466568597659134,-0.19027025377428208,-0.21315264623526775,-0.36948687604769104,-0.48866498740554154,56.451612903225815,81.31232393291634,2.6851182774777493,Stage 2 — Advancing,86.30720001220703,103.98999786376953,True,50.310001373291016,2.343375544240926,8.03324744751389,24359062.906827927,86.30720001220703,False,26.21702626294258,True,-1.3078186732277897,True,True,True,True,False,False,True,True,80.8271999613444,77.69380002975464,True,4.104202530508845,1,1.6465089001418238,29.406668746854862,2.545189923861711,False,103.98999786376953,0.0044748005895499455,0.004490027410124904,True,1.325149222203903,80.0,False,True,5,True,True,True,True,True,True,True,True,8,True,False,,Aarey Drugs & Pharmaceuticals Ltd,Pharmaceuticals,EQ,WAIT,"Stage 2 + RS 80; wait because price is more than 20% above the 30-week line (currently +26%) — the guide treats that as poor entry timing, not a failed trend.",False,,
AARON,2026-09-23,122.5999984741211,0.009819922012980431,-0.0949209455377561,-0.32125307991868934,-0.36797423445460087,-0.15290168317701708,-0.16594798172850733,-0.23844597384707023,-0.39719755804591295,-0.4999542400644703,40.32258064516129,130.60606352040466,-2.046400484663846,Stage 4 — Declining,130.36778961181642,227.19119369856435,False,106.42114596713844,0.22725362029466784,0.46178600160901045,1704750.5435386659,130.36778961181642,True,-6.129933657354869,False,-46.03664143919861,False,False,False,False,True,True,False,False,132.25633412679036,141.26686515808106,False,6.553250378587149,2,0.6097846010849406,28.19767299909263,0.5935664223103461,False,154.2508634721876,0.005345518465679864,0.00914412022763895,False,25.81636655138091,17.0,False,False,0,False,False,False,False,False,False,False,False,0,False,False,,Aaron Industries Ltd,Capital Goods-Non Electrical Equipment,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.,False,,
AARTECH,2026-09-23,50.70000076293945,-0.0024704254460651276,0.1352274089062222,0.059277433958053516,-0.06366739951317502,0.025179318491794087,-0.2143354155530134,-0.24600338862760007,-0.3696794388992869,-0.4470046390982346,44.354838709677416,46.32074885301187,0.7575624598996855,Stage 2 — Advancing,48.840031433105466,64.59185693072843,False,33.428153740787394,0.7016263071106309,1.6309958031773206,2072485.8796546937,48.840031433105466,False,9.45419065616604,False,-21.50713236606172,True,True,True,True,False,False,False,False,46.25921114603678,46.93678483963013,False,4.0517081912002455,3,0.9775394773616005,16.136872824359635,0.2766988961764819,False,53.34938141880225,0.0022105855926701627,0.0026502876467249456,False,5.225602792888795,50.0,False,True,5,True,False,False,True,True,True,True,False,5,False,False,,Aartech Solonics Ltd,Capital Goods - Electrical Equipment,EQ,HOLD,Stage 2 + RS 50; trend/leadership is adequate without a stronger entry trigger.,False,,
AARTIDRUGS,2026-09-23,436.25,0.1624034484132566,0.3316544318444028,0.0636385160025994,-0.14976956113362794,0.11406605670797751,-0.07033115617893948,-0.0951429765066858,-0.23823200594258787,-0.3872167368899154,51.61290322580645,387.2257052139497,1.055712831457889,Stage 2 — Advancing,420.34299926757814,531.1493690336815,False,318.95001220703125,0.9801248669549656,1.6519889944565673,62709564.96636047,420.34299926757814,False,12.660392666587938,False,-17.86679502346612,True,True,True,True,False,False,False,False,386.4143341064453,387.1627069091797,False,3.6446992403359086,3,0.931485885062307,11.605862361919982,0.7061934289986502,False,453.6499938964844,0.019021064108292667,0.022194903665242467,False,3.9885372828617482,61.0,True,True,5,True,False,False,True,True,True,True,False,5,False,False,,Aarti Drugs Ltd,Pharmaceuticals,EQ,HOLD,Stage 2 + RS 61; trend/leadership is adequate without a stronger entry trigger.,False,,
