Symbol,Sessions_52W,Blocked_By,Sessions_To_Go,Matures_Around
VMSTMT,245,history,1,2026-09-23
IVALUE,244,history,2,2026-09-24
GKENERGY,243,history,3,2026-09-25
SAATVIKGL,243,history,3,2026-09-25
ATLANTAELE,242,history,4,2026-09-28
GANESHCP,242,history,4,2026-09-28
JARO,241,history,5,2026-09-29
SOLARWORLD,241,history,5,2026-09-29
STYL,241,history,5,2026-09-29
BMWVENTLTD,240,history,6,2026-09-30
JKIPL,239,history,8,2026-10-02
EPACKPEB,238,history,9,2026-10-05
JAINREC,238,history,9,2026-10-05
PACEDIGITK,238,history,9,2026-10-05
TRUALT,238,history,9,2026-10-05
FABTECH,237,history,10,2026-10-06
GLOTTIS,237,history,10,2026-10-06
ADVANCE,236,history,11,2026-10-07
OMFREIGHT,236,history,11,2026-10-07
WEWORK,234,history,13,2026-10-09
LGEINDIA,232,history,15,2026-10-13
RUBICON,230,history,17,2026-10-15
MIDWESTLTD,225,history,23,2026-10-23
ORKLAINDIA,217,history,32,2026-11-05
STUDDS,216,history,33,2026-11-06
LENSKART,215,history,34,2026-11-09
GROWW,213,history,36,2026-11-11
TMCV,213,history,36,2026-11-11
PINELABS,211,history,38,2026-11-13
EMMVEE,209,history,40,2026-11-17
PWL,209,history,40,2026-11-17
TENNIND,208,history,41,2026-11-18
UTLSOLAR,207,history,42,2026-11-19
CAPILLARY,206,history,43,2026-11-20
EXCELSOFT,203,history,46,2026-11-25
SUDEEPPHRM,201,history,48,2026-11-27
PAUSHAKLTD,200,history,49,2026-11-30
SKFINDUS,195,history,54,2026-12-07
AEQUS,193,history,56,2026-12-09
MEESHO,193,history,56,2026-12-09
VIDYAWIRES,193,history,56,2026-12-09
CORONA,190,history,59,2026-12-14
WAKEFIT,190,history,59,2026-12-14
NEPHROPLUS,188,history,61,2026-12-16
PARKHOSPS,188,history,61,2026-12-16
KSHINTL,184,history,65,2026-12-22
GKSL,180,history,70,2026-12-29
BUILDPRO,172,history,78,2027-01-08
BHARATCOAL,167,history,84,2027-01-18
AMAGI,165,history,86,2027-01-20
SHADOWFAX,161,history,91,2027-01-27
FRACTAL,148,history,104,2027-02-15
KWIL,148,history,104,2027-02-15
DCMSIL,147,history,105,2027-02-16
DSFCL,147,history,105,2027-02-16
CEINSYS,145,history,107,2027-02-18
GAUDIUMIVF,139,history,113,2027-02-26
CLEANMAX,138,history,114,2027-03-01
PNGSREVA,137,history,116,2027-03-03
OMNI,136,history,117,2027-03-04
INA,134,history,119,2027-03-08
SEDEMAC,132,history,121,2027-03-10
MARSONS,130,history,123,2027-03-12
RSL,126,history,127,2027-03-18
SINGERIND,126,history,127,2027-03-18
INNOVISION,124,history,129,2027-03-22
GSPCROP,123,history,130,2027-03-23
CMPDI,120,history,134,2027-03-29
AEROPLANE,118,history,137,2027-04-01
POWERICA,118,history,137,2027-04-01
SAIPARENT,118,history,137,2027-04-01
ARIHANT,112,history,144,2027-04-12
GRAUWEIL,112,history,144,2027-04-12
KOVAI,112,history,144,2027-04-12
GOODYEAR,111,history,146,2027-04-14
KENNAMET,111,history,146,2027-04-14
NOVARTIND,111,history,146,2027-04-14
OMPOWER,109,history,148,2027-04-16
KISSHT,95,history,163,2027-05-07
CMRGREEN,73,history,186,2027-06-09
HEXAGON,71,history,188,2027-06-11
VAML,70,history,189,2027-06-14
VEDPOWER,70,history,189,2027-06-14
VISL,70,history,189,2027-06-14
VOGL,70,history,189,2027-06-14
TURTLEMINT,61,history,199,2027-06-28
CORDELIA,59,history,201,2027-06-30
RAMBHAJO,59,history,201,2027-06-30
CSM,58,history,202,2027-07-01
AGL,57,history,203,2027-07-02
AASTHA,56,history,204,2027-07-05
KNACK,54,history,206,2027-07-07
KUSUMGAR,49,history,211,2027-07-14
LASERPOWER,48,history,212,2027-07-15
ALPINETEX,45,history,215,2027-07-20
CMLL,42,history,218,2027-07-23
INDOMIM,38,history,222,2027-07-29
LCL,38,history,222,2027-07-29
XTRANET,38,history,222,2027-07-29
MANIPALHOS,34,history,226,2027-08-04
JNPR,33,history,227,2027-08-05
MVELECTRO,33,history,227,2027-08-05
ANDREWYU,30,history,230,2027-08-10
VISHAL,30,history,230,2027-08-10
WATERBASE,30,history,230,2027-08-10
ARDEE,29,history,231,2027-08-11
LEAPIND,27,history,233,2027-08-13
TECHNOCRAF,27,history,233,2027-08-13
DHOOTTRANS,26,history,234,2027-08-16
MOLBIO,26,history,234,2027-08-16
ASTAR,25,history,235,2027-08-17
BENGALASM,25,history,235,2027-08-17
BLIL,25,history,235,2027-08-17
DAICHI,25,history,235,2027-08-17
DRAGARWQ,25,history,235,2027-08-17
KAMAHOLD,25,history,235,2027-08-17
KOTIC,25,history,235,2027-08-17
MILKYMIST,25,history,235,2027-08-17
PREMCO,25,history,235,2027-08-17
QUINT,25,history,235,2027-08-17
TAALTECH,25,history,235,2027-08-17
TAMBOLIIN,25,history,235,2027-08-17
VELJAN,25,history,235,2027-08-17
BLEL,24,history,236,2027-08-18
SHIPROCKET,24,history,236,2027-08-18
HORIZONIND,21,history,239,2027-08-23
LALITHAA,21,history,239,2027-08-23
SHANKESH,20,history,240,2027-08-24
TEMPSENS,17,history,243,2027-08-27
