Symbol,TV_Sector,TV_Industry
20MICRONS,Process Industries,Chemicals: Specialty
360ONE,Finance,Investment Managers
3IINFOLTD,Technology Services,Information Technology Services
3MINDIA,Producer Manufacturing,Industrial Conglomerates
5PAISA,Finance,Investment Banks/Brokers
63MOONS,Technology Services,Packaged Software
A2ZINFRA,Industrial Services,Engineering & Construction
AAATECH,Technology Services,Information Technology Services
AADHARHFC,Finance,Finance/Rental/Leasing
AAKAAR,Distribution Services,Medical Distributors
AARADHYA,Process Industries,Containers/Packaging
AAREYDRUGS,Health Technology,Pharmaceuticals: Major
AARON,Producer Manufacturing,Building Products
AARTECH,Commercial Services,Miscellaneous Commercial Services
AARTIDRUGS,Health Technology,Pharmaceuticals: Major
AARTIIND,Process Industries,Chemicals: Major Diversified
AARTIPHARM,Health Technology,Pharmaceuticals: Major
AARTISURF,Process Industries,Chemicals: Major Diversified
AARTISURF.P1,Process Industries,Chemicals: Major Diversified
AARVI,Commercial Services,Personnel Services
AAVAS,Finance,Finance/Rental/Leasing
ABAN,Industrial Services,Contract Drilling
ABB,Producer Manufacturing,Electrical Products
ABBOTINDIA,Health Technology,Pharmaceuticals: Major
ABCAPITAL,Finance,Multi-Line Insurance
ABCOTS,Consumer Non-Durables,Apparel/Footwear
ABDL,Consumer Non-Durables,Beverages: Alcoholic
ABFRL,Retail Trade,Apparel/Footwear Retail
ABINFRA,Industrial Services,Engineering & Construction
ABLBL,Retail Trade,Apparel/Footwear Retail
ABREL,Process Industries,Textiles
ABSLAMC,Technology Services,Internet Software/Services
ABSMARINE,Transportation,Marine Shipping
ACC,Non-Energy Minerals,Construction Materials
ACCELYA,Technology Services,Packaged Software
ACCENTMIC,Health Technology,Pharmaceuticals: Major
ACE,Producer Manufacturing,Trucks/Construction/Farm Machinery
ACI,Process Industries,Chemicals: Major Diversified
ACL,Non-Energy Minerals,Construction Materials
ACMESOLAR,Industrial Services,Engineering & Construction
ACTIVEINFR,Industrial Services,Engineering & Construction
