Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MaxDD_3M,MaxDD_6M,MaxDD_9M,MaxDD_12M,Up_Days_Pct_6M,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,Action,Action_Reason,Corporate_Action,Corporate_Action_Date,Corporate_Action_Kind
20MICRONS,2026-09-21,220.1199951171875,0.20272808091964967,0.4664968164262302,0.15151225852882977,-0.039215845596624166,0.19684987823954703,-0.1329386354573655,-0.1329386354573655,-0.39668295568835577,-0.4224111554398341,52.03252032520326,185.68959733130228,1.2044113362888575,Stage 2 — Advancing,204.94594757080077,235.95250022354273,False,128.8197409252814,2.806528246775857,2.7380310124068394,52208417.85470352,204.94594757080077,False,18.54190987578881,False,-6.710039135569835,True,True,True,True,False,False,False,False,185.4983709716797,186.43498970031737,True,4.329782006995252,0,1.449983740210925,22.065687084594447,0.840462385288812,False,233.52999877929688,0.009629024765672511,0.0097656816158299,False,6.092133363427599,72.0,True,True,5,True,False,True,True,True,True,True,True,7,False,False,,20 Microns Ltd,Mining & Mineral products,EQ,HOLD,Stage 2 + RS 72; trend/leadership is adequate without a stronger entry trigger.,False,,
360ONE,2026-09-21,1072.699951171875,-0.06322594180216978,0.03683155335750676,-0.05265877980884481,0.00334415396467036,-0.027786991218201454,-0.1358677887719525,-0.1358677887719525,-0.2256895226845339,-0.2256895226845339,46.34146341463415,1093.7513260102608,-0.2616929495030118,Stage 4 — Declining,1140.2340014648437,1229.0652744329707,False,900.8207868154223,0.557586219767131,0.2894537276972559,837559177.4286988,1140.2340014648437,True,-1.9246947946729431,False,-12.722296082544094,False,False,True,False,True,True,False,False,1094.9795023600261,1107.4660641479493,True,2.7886928313872863,1,1.5584921506101928,15.19339644441898,0.6205672470828224,False,1222.9000244140625,0.04692465303059223,0.051273315731198366,False,14.00205836479258,44.0,True,False,1,False,False,True,True,False,False,True,False,3,False,False,,360 ONE WAM Ltd,Stock/ Commodity Brokers,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.,False,,
3IINFOLTD,2026-09-21,25.6200008392334,0.47580644806869965,0.8538351233704038,0.5814814588060988,0.08039966617001837,0.4934658288967841,-0.2105072241174003,-0.2105072241174003,-0.2660126761091981,-0.46359548821187,54.47154471544715,18.62345069562885,3.443119320227317,Stage 2 — Advancing,23.015200080871583,27.799999237060547,False,12.680000305175781,0.41449576881185424,1.869143638712292,6786596.265694046,23.015200080871583,False,37.56849500101891,True,-7.84172107070048,True,True,True,True,False,False,False,False,18.437133331298828,17.81395001888275,True,3.8976233047833366,2,1.2345084071265036,35.251796784210114,0.3968541268930282,False,27.799999237060547,0.0011207324552510239,0.0011654839366416988,False,8.508970829106266,89.0,False,True,5,True,True,True,True,True,True,True,True,8,True,False,,3i Infotech Ltd,IT - Software,EQ,WAIT,"Stage 2 + RS 89; wait because price is more than 20% above the 30-week line (currently +38%) — the guide treats that as poor entry timing, not a failed trend.",False,,
3MINDIA,2026-09-21,34725.0,0.06348374429637804,0.09166097428064868,0.01011903010119708,0.177599850786484,0.08126946875221716,-0.12650352550808797,-0.12650352550808797,-0.2225322551145249,-0.2225322551145249,52.03252032520326,33051.2744415713,-0.7021507298813123,Stage 3 — Topping,34464.4878125,37487.09942436396,False,28319.862583025053,1.0755082284607937,2.1341211704237324,127581531.75,34464.4878125,False,5.0640272930701835,False,-7.368133215899841,True,True,True,False,False,False,False,False,33209.32233072917,33507.83134765625,False,2.510542013781755,1,2.1243381516790434,15.549597855227882,1.216903084360829,False,37300.0,1.5190254970247803,1.5957972004548862,False,7.415406767458599,59.0,True,True,4,True,False,False,True,True,False,True,False,4,False,False,,3M India Ltd,Diversified,EQ,REDUCE,Stage 3 with RS 59; the guide requires REDUCE when RS is 50 or higher.,False,,
63MOONS,2026-09-21,892.0499877929688,0.3336112422537869,0.6824154976084713,0.1927957824591282,-0.03733883959369877,0.3010189849962949,-0.19964572123230528,-0.19964572123230528,-0.3815504073409871,-0.49364773985172405,49.59349593495935,691.5870550451144,2.127157882790187,Stage 2 — Advancing,805.4086120605468,955.732564747902,False,465.91898526941185,0.3008715545564438,2.148714947828242,362461284.45392764,805.4086120605468,False,28.985928999896828,True,-6.663221418193599,True,True,True,True,False,False,False,False,690.1574841308594,695.7862310791015,True,4.795536486486663,2,0.9618760733878667,29.328255757114896,0.5601140440188912,False,955.732564747902,0.03902222249325165,0.03965609435387876,False,7.138902284219628,79.0,True,True,5,True,False,True,True,True,True,True,True,7,False,False,,63 Moons Technologies Ltd,IT - Software,EQ,HOLD,Stage 2 + RS 79; trend/leadership is adequate without a stronger entry trigger.,False,,
A2ZINFRA,2026-09-21,14.680000305175781,0.022284168255515047,-0.11352652303117794,0.04782298824754694,-0.20905168493600468,-0.04603737664172112,-0.1799884571951028,-0.31085711887904577,-0.35885163412935317,-0.35885163412935317,39.83739837398374,15.347746419235014,0.28044299576801546,Stage 1 — Basing,14.962199954986572,19.389999389648438,False,12.0,0.18077851662579814,1.0946478815428975,4048601.7515411377,14.962199954986572,True,-4.350776301740044,False,-24.290867626262745,False,False,False,True,False,False,False,False,15.314999942779542,15.217299966812133,False,4.919228074716093,3,0.553348234419814,33.14763515344327,0.38226867555407656,False,17.950000762939453,0.0006421683156196852,0.0008087270567855505,False,22.275207014885122,41.0,False,False,1,False,True,False,False,False,False,True,False,2,False,False,3.0,A2Z Infra Engineering Ltd,Infrastructure Developers & Operators,EQ,AVOID,Stage 1 + RS 41; weak RS in a basing stage is AVOID.,False,,
AAREYDRUGS,2026-09-21,102.37000274658203,0.22452158630447006,0.47762708646544505,0.49423441183116257,0.3192010922618962,0.3480211526334888,-0.19027025377428208,-0.26746534506051756,-0.36948687604769104,-0.48866498740554154,55.28455284552846,80.9664084743446,2.7786187497779613,Stage 2 — Advancing,85.41900009155273,103.98999786376953,True,50.310001373291016,1.4648096982660892,5.418047149554375,21700384.341116715,85.41900009155273,False,26.435153387122856,True,-1.55783743674055,True,True,True,True,False,False,False,False,80.38560002644857,77.53515008926392,False,4.342789893375118,2,0.9905518561587445,29.406668746854862,2.4230020682752187,False,103.98999786376953,0.004478117906481062,0.004490027410124904,True,1.5824900593172986,82.0,False,True,5,True,True,False,True,True,True,True,True,7,False,False,,Aarey Drugs & Pharmaceuticals Ltd,Pharmaceuticals,EQ,WAIT,"Stage 2 + RS 82; wait because price is more than 20% above the 30-week line (currently +26%) — the guide treats that as poor entry timing, not a failed trend.",False,,
AARON,2026-09-21,120.73999786376953,-0.009807735817134677,-0.12030035441166875,-0.31623594062339677,-0.39593283820510716,-0.17041692097488842,-0.16594798172850733,-0.23844597384707023,-0.3990540703624911,-0.4999542400644703,39.83739837398374,131.17119695099308,-2.0140330107128457,Stage 4 — Declining,130.19131057739258,227.19119369856435,False,106.42114596713844,0.27927154359388046,0.5108254315584732,1593387.5107406615,130.19131057739258,True,-7.952354884068602,False,-46.85533541235471,False,False,False,False,True,True,False,False,132.7696044921875,141.8939559173584,False,6.544759198122259,2,1.0546697757452235,28.19767299909263,0.5175605136169331,False,154.2508634721876,0.005281702959417809,0.00914412022763895,False,27.75456866102337,18.0,False,False,0,False,False,False,False,False,False,False,False,0,False,False,,Aaron Industries Ltd,Capital Goods-Non Electrical Equipment,EQ,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.,False,,
AARTECH,2026-09-21,51.05500030517578,0.018507502304125012,0.09757666115572361,0.07588820435293919,-0.11389522273510932,0.0193169294763607,-0.2143354155530134,-0.25369938461134733,-0.3696794388992869,-0.4470046390982346,43.90243902439025,46.209820330982474,0.61291010288822,Stage 2 — Advancing,48.71054008483887,64.59185693072843,False,33.428153740787394,0.4791151790411353,1.3613164200140944,2092676.6638759612,48.71054008483887,False,10.485173799614934,False,-20.95752819131714,True,True,True,True,False,False,False,False,46.22961415608724,46.941122131347655,False,4.112935914339576,1,1.9669883872951097,16.136872824359635,0.33219135586718096,False,53.34938141880225,0.002233372129997695,0.0026502876467249456,False,4.4939400644639305,51.0,False,True,5,True,False,False,True,True,True,True,False,5,False,False,,Aartech Solonics Ltd,Capital Goods - Electrical Equipment,EQ,HOLD,Stage 2 + RS 51; trend/leadership is adequate without a stronger entry trigger.,False,,
AARTIDRUGS,2026-09-21,435.5,0.1759146559275997,0.2691243122428095,0.14752281039543047,-0.16657970643768505,0.12037934561115088,-0.07033115617893948,-0.0951429765066858,-0.23823200594258787,-0.3880915295831223,51.21951219512195,386.3721840012241,1.0075341974418395,Stage 2 — Advancing,419.13099975585936,531.1493690336815,False,318.95001220703125,0.5688977571065367,2.000076327565344,62808623.98530884,419.13099975585936,False,12.7151534279756,False,-18.007998241190826,True,True,True,True,False,False,False,False,385.6703340657552,387.0369999694824,False,3.6165332215446635,3,0.7374845997171977,13.589770687961678,0.6023185237769684,False,453.6499938964844,0.019050701337776584,0.022194903665242467,False,4.16762201985863,64.0,True,True,5,True,False,False,True,True,True,True,False,5,False,False,,Aarti Drugs Ltd,Pharmaceuticals,EQ,HOLD,Stage 2 + RS 64; trend/leadership is adequate without a stronger entry trigger.,False,,
